,id,REACTANT,PRODUCT,REAGENT,SOLVENT,CATALYST,YIELD
0,ord-c2af606677024e008e8fb05d402e9b3b,B1C2CCCC1CCC2.C=CC1CCN(C(=O)OC(C)(C)C)C1.ClCCl.FC1(F)Oc2ccc(Br)cc2O1.N#N.O=C([O-])[O-].[K+].[K+].[Na+].[OH-],CC(C)(C)OC(=O)N1CCC(CCc2ccc3c(c2)OC(F)(F)O3)C1,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CN(C)C=O.O.O,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,0.98
1,ord-96c71ebfff6c4ee8bb6a5aa2960c2ba3,Brc1cncc(I)c1.C#C[Si](C)(C)C,C[Si](C)(C)C#Cc1cncc(Br)c1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CC#N.CCN(CC)CC,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,0.99
2,ord-6e64400b2c7a4e9a8789b9e79cfcee25,Brc1ccc(-c2nc3ccccc3o2)nc1.CC1(C)OB(c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)nc2)OC1(C)C.O.O=C([O-])[O-].[Na+].[Na+],c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5nc6ccccc6o5)nc4)cn3)cc2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1CCOC1.CC(C)=O.ClCCl.ClCCl,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0.77
3,ord-b77f09a6bfcb449c8320355cea96234a,Brc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(=O)[O-].CC(=O)[O-].CCN(CC)CC.[Pd+2],C1CCOC1.CC#N.CCc1cc(CC)cc(CC)c1.CCc1cccc(CC)c1.CN(C)C=O.Cc1ccccc1.O,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(=O)[O-].CC(=O)[O-].[Pd+2],0.13
4,ord-a78f05158222489f8516262e16c2e1d4,CC=CCOc1ccc(Cl)cc1I.CCCC[NH3+].O=C([O-])[O-].O=C[O-].[Cl-].[Na+].[Na+].[Na+],CCc1coc2ccc(Cl)cc12,CC(=O)[O-].CC(=O)[O-].[Pd+2],CN(C)C=O,CC(=O)[O-].CC(=O)[O-].[Pd+2],0.6
5,ord-5dee9b14e71f4696a55160a9b199f823,COC(=O)[C@@H]1CCCN1C[C@@H](CO)NC(=O)OCc1ccccc1.[H][H],O=C1N[C@H](CO)CN2CCC[C@@H]12,[Pd],CO.CO,[Pd],0.85
6,ord-414cb258bf5f49a68600ff46cab8a198,Cc1nc2ccccc2[nH]1.ClCCCCBr.[Na+].[OH-],Cc1nc2ccccc2n1CCCCCl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],ClCCl.ClCCl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],0.62
7,ord-89b9b02c63de42c69f3741b8d60df759,Brc1ccc(-c2ccc3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c3c2)cc1.CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)[O-].[Na+].c1ccc2c(c1)[nH]c1ccc(-c3cccc4c3oc3ccccc34)cc12,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3cc(-c4ccc(-n5c6ccccc6c6cc(-c7cccc8c7oc7ccccc78)ccc65)cc4)ccc23)cc1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd],CCCCCC.Cc1ccccc1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd],0.71
8,ord-79ba34c3a2a842aeac9844c9adfd81cd,C1COCCO1.CS(=O)(=O)c1ncc(OCC2CC2)c(Cl)n1.Cn1cc(B2OC(C)(C)C(C)(C)O2)c2c(c1=O)CCCC2.O.O=P([O-])([O-])[O-].[K+].[K+].[K+],Cn1cc(-c2nc(S(C)(=O)=O)ncc2OCC2CC2)c2c(c1=O)CCCC2,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CCOC(C)=O,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,0.67
9,ord-ff39310cbf9b4ffeae75d7f1c5107b64,COC(=O)c1cc2c(cc1[N+](=O)[O-])OCCO2.NN.O,COC(=O)c1cc2c(cc1N)OCCO2,[Pd],CO.CO,[Pd],0.5
10,ord-3df4e020c7884aa982896480f6a21ef8,C1=COCCC1.CC(CCCCBr)(COC1CCCCO1)c1ccccc1.CC(CO)(CCCBr)c1ccccc1,CC(CCCBr)(COC1CCCCO1)c1ccccc1,Cc1ccc(S(=O)(=O)O)cc1.O,ClCCl,Cc1ccc(S(=O)(=O)O)cc1.O,0.95
11,ord-da92b8fd5ded4564a5da0bad090429ef,CCOC(=O)C1CCN(Cc2ccccc2)CC1=O.Cl,CCOC(=O)C1CCNCC1=O.Cl,[Pd],CCO,[Pd],0.84
12,ord-1dd27e38c75347908e354bc047bffa9d,COC(=O)c1cc2cc(C)cc([N+](=O)[O-])c2n1C(=O)OC(C)(C)C.O=C1CCC(=O)N1Br,COC(=O)c1cc2cc(CBr)cc([N+](=O)[O-])c2n1C(=O)OC(C)(C)C,CC(C)(C#N)N=NC(C)(C)C#N,ClC(Cl)(Cl)Cl,CC(C)(C#N)N=NC(C)(C)C#N,1.0
13,ord-eb1e3da77b1a47679dbc3f0f04feb804,CC(=O)[O-].N#CC(c1ccnc(Cl)n1)c1nc2ccccc2s1.[Na+],N#CC(c1ccncn1)c1nc2ccccc2s1,[Pd],CC(=O)O,[Pd],0.13
14,ord-652b7ae23fcd4311981e5f0157f7d978,Nc1cc2cc(Br)ccc2c(Br)n1.O=C[O-].O=C[O-].[NH4+].[NH4+],Nc1cc2cc(Br)ccc2cn1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].[Pd].[Pd],CN(C)C=O,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].[Pd].[Pd],0.9
15,ord-e2070dae8ca14929bbd39eaf3388600c,CCCCOc1c(CNC(=O)OC(C)(C)C)n(CC(C)C)c(=O)c2ccc(OCc3ccccc3)cc12,CCCCOc1c(CNC(=O)OC(C)(C)C)n(CC(C)C)c(=O)c2ccc(O)cc12,[C].[Pd],C1CCOC1.CCO,[C].[Pd],0.97
16,ord-1c4c9374ded94ddd8102c9a833fd2784,Cn1cnc(C#N)c1.Fc1ccccc1Br,Cn1cnc(C#N)c1-c1ccccc1F.Cn1cnc(C#N)c1-c1ccccc1F,C=C[CH2-].C=C[CH2-].CC(C)(C)C(=O)[O-].CP(C)c1ccccc1.Cl[Pd+].Cl[Pd+].[K+],CCCC#N,C=C[CH2-].C=C[CH2-].CP(C)c1ccccc1.Cl[Pd+].Cl[Pd+],0.0
17,ord-c4f8232274154e2a8a24dae87cdf7ee4,COc1ccc(N(C(=O)c2ccc(C)s2)C(=O)c2ccc(C)s2)c(Br)c1,COc1ccc2[nH]c(=O)c3sc(C)cc3c2c1,CC(C)(C)[P]([Pd][P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C,,CC(C)(C)[P]([Pd][P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C,0.48
18,ord-3ec9d7738cee4b779ecd6978452b948a,CNCCNC.COc1cn(-c2cccc(Br)c2F)nc(-c2ccnn2-c2ccccc2)c1=O.O=C([O-])O.O=C1CCCCN1.O=P([O-])([O-])[O-].[K+].[K+].[K+].[Na+],COc1cn(-c2cccc(N3CCCCC3=O)c2F)nc(-c2ccnn2-c2ccccc2)c1=O,[Cu]I,C1COCCO1,[Cu]I,0.23
19,ord-8cdfa484669a4173a9374bd739e1b02e,C1=CCCCC1.O=C(Oc1ccccc1[C@@H]1O[C@@]2(COCc3ccccc3)CO[C@@H]1[C@@]2(O)Cc1ccccc1)c1ccccc1,O=C(Oc1ccccc1[C@@H]1O[C@@]2(CO)CO[C@@H]1[C@@H]2O)c1ccccc1,[C].[OH-].[OH-].[Pd+2],CCO,[C].[OH-].[OH-].[Pd+2],0.85
20,ord-a6fa804c926f474d9a4d3fb0992a554c,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc2sc(C(=O)O)cc2c1.COC(=O)CN.Cl.ClCCCl,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc2sc(C(=O)NCC(=O)O)cc2c1,CN(C)c1ccncc1,,CN(C)c1ccncc1,0.43
21,ord-b28e4256e2644f609f32cb5a12358d19,C=C(C)C[C@]1(c2ccccc2)CCN([C@@H](C)c2ccc(Br)cc2)C(=O)N1.CC(C)(C)OO.CCO.Cc1ccc(S(=O)(=O)C#N)cc1.[SiH3]c1ccccc1,C[C@@H](c1ccc(Br)cc1)N1CC[C@](CC(C)(C)C#N)(c2ccccc2)NC1=O,[Co],,[Co],0.04
22,ord-fed5b00f72254b7c8f95815d01fc8b4c,CC1(C)CC(=O)Oc2ccc(Br)cc21.Cc1ccccc1.[Na+].[OH-],C=C1CC(C)(C)c2cc(Br)ccc2O1,C[Al+]C.[CH3-].[Cl-].[Ti+3].c1cc[cH-]c1.c1cc[cH-]c1,C1CCOC1,C[Al+]C.[CH3-].[Cl-].[Ti+3].c1cc[cH-]c1.c1cc[cH-]c1,0.74
23,ord-c514bb3cd598458da799ed29437f4961,CC1(C)O/C(=C2/C(=O)Nc3ccc(F)cc32)C=C1Br.CCOC(C)=O.O=C([O-])[O-].O=Cc1ccc(B(O)O)cc1.[K+].[K+],CC1(C)O/C(=C2/C(=O)Nc3ccc(F)cc32)C=C1c1ccc(C=O)cc1,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,C1CCOC1.O,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,0.52
24,ord-97806c5415cd409eb317d696b2c1b264,C1CCOC1.O=C(Nc1cccc(Br)n1)C1(c2ccc3c(c2)OCO3)CC1.[Br-].[Zn+]CC1CCCCC1,O=C(Nc1cccc(CC2CCCCC2)n1)C1(c2ccc3c(c2)OCO3)CC1,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,0.5
25,ord-a569e66c25e6439d8b2d02d4f793c445,CCN(CC)CC.Cl.N#CC(=O)c1ccc(Cl)cc1Cl.O=C1CCCC(=O)C1,O=C1CCCC(=O)C1C(=O)c1ccc(Cl)cc1Cl,CC(=O)[O-].CC(=O)[O-].[Cl-].[Cl-].[Cu+2].[Zn+2],CCOCC.ClCCl,CC(=O)[O-].CC(=O)[O-].[Cl-].[Cl-].[Cu+2].[Zn+2],0.78
26,ord-24ee85ae742841a4bfa0f009785a6cc5,O=C(c1ccc2[nH]c(C(=O)N3CCC(F)(F)CC3)cc2c1)N1CCC(N2CCOCC2)CC1.OB(O)c1cccc(Cl)c1.c1ccncc1,O=C(c1ccc2c(c1)cc(C(=O)N1CCC(F)(F)CC1)n2-c1cccc(Cl)c1)N1CCC(N2CCOCC2)CC1,CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCl,CC(=O)[O-].CC(=O)[O-].[Cu+2],0.64
27,ord-a95d6e9e35984f7790a1a55dc6292199,COC(=O)c1nc(Br)c(F)cc1N.OB(O)c1ccccc1F,COC(=O)c1nc(-c2ccccc2F)c(F)cc1N,ClCCl.Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,,ClCCl.Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,0.99
28,ord-b9347fbc2d1f439fb0b87974dc39c21e,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CCc1cc(N)ncn1.N#Cc1cc(Cl)c(-c2nc3ccnc(Br)c3s2)c(Cl)c1.O=C([O-])[O-].[Cs+].[Cs+],CCc1cc(Nc2nccc3nc(-c4c(Cl)cc(C#N)cc4Cl)sc23)ncn1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd],C1COCCO1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd],0.28
29,ord-669abf374db4492fa86becc5fb208313,CCc1nc(C)cc(=O)n1CCOc1ccc([N+](=O)[O-])cc1.[H][H],CCc1nc(C)cc(=O)n1CCOc1ccc(N)cc1,[Pd],C1COCCO1,[Pd],0.7
30,ord-79571893d7044aae86289e29886b41ff,C[C@@H]1CN(C(=O)OC(C)(C)C)[C@@H](C)CN1Cc1cc([N+](=O)[O-])cc2ccoc12.NN.O,C[C@@H]1CN(C(=O)OC(C)(C)C)[C@@H](C)CN1Cc1cc(N)cc2ccoc12,[Ni],C1CCOC1.CCO,[Ni],0.87
31,ord-b53374957af946358cd3c222fe4ba0bb,CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C.CCO.CCOC(=O)C(=O)c1c(C)sc(C)c1Br.O=C([O-])[O-].[Na+].[Na+],Cc1sc(C)c(-c2ccc3c(c2)CCCO3)c1C(=O)C(=O)O,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1.O.O,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,1.0
32,ord-419341a196524ef49e44f08dda3c0e06,C=CCOc1ccc(COCCn2ccnn2)cc1.CN1C(=O)CC(=O)N(C)C1=O,Oc1ccc(COCCn2ccnn2)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,ClCCl.ClCCl,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0.59
33,ord-c156b60e2b0d45b3b88f357c0838a8f3,Brc1ccc2ncccc2c1.Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CC(=O)[O-].CC(=O)[O-].CC(C)(C)P(C(C)(C)C)C(C)(C)C.O=C([O-])O.[Na+].[Pd+2],CO,CC(=O)[O-].CC(=O)[O-].CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd+2],0.39
34,ord-6a9fa314c63e49319d344313e3817ccb,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F.[K+],Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,CC(=O)[O-].CC(=O)[O-].CC(C)(C)[O-].COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.[Li+].[Pd+2],CCCCCC.CCc1cc(CC)cc(CC)c1.CCc1cccc(CC)c1.CN(C)C=O.CN(C)C=O.Cc1ccccc1.O,CC(=O)[O-].CC(=O)[O-].COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.[Pd+2],0.11
35,ord-1f77b54dfacd4b91acfea3bec7fc20e1,CC1(O)CCNCC1.CCN(CC)CC.C[C@H](OC(=O)C(Br)c1ccccc1)c1ccccc1,C[C@H](OC(=O)[C@@H](c1ccccc1)N1CCC(C)(O)CC1)c1ccccc1,CCCC[N+](CCCC)(CCCC)CCCC.[I-],C1CCOC1.C1CCOC1.CCOC(C)=O,CCCC[N+](CCCC)(CCCC)CCCC.[I-],0.6
